sku,title,author,brand,price
CV317,Dream State Code of Conduct (middle),,,22
CV318,Dream State Code of Conduct (upper),,,45
CV319,E.M.T. in MSP,Heinz Peter Knes,Edition Taube,36
CV320,"Eingeweide, Pillen, Feminismus",Elizabeth A. Wilson,Edition Patrick Frey,16
CV321,Elephants,Zuni Halpern,Edition Taube,26
CV322,FLEUROP,Sebastian Utzni,Edition Taube,18
CV323,"Florence Jung – F+f Schule für Kunst und Design, Zürich",Florence Jung,Edition Taube,22
CV324,Gehege,"Sara Arzu Hardegger, Vanja Ivana Jelić",Edition Taube,32
CV325,Große Happen in der 2. und 4. Dimension,Hank Schmidt in der Beek / Fabian Schubert,Edition Taube,36
CV326,Here 1989 -,Richard Mcguire,Fotokino,16
CV327,Here My Seat,Mogu Takahashi,Fotokino,12
CV328,How to maneuver: Shapeshifting texts and other publishing tactics,,Kayfa-ta,28
CV329,Isbjørn,Lars Dyrendom,Inexistent Books,8
CV330,ISBN,Son Ni,Nos:books,22
CV331,Konversationen,Friedemann Heckel,Edition Taube,36
CV332,Lago Mio,Erik Steinbrecher,Edition Taube,18
CV333,M.D. trinkt Abends gerne ein Bier,,Edition HS,5
CV334,Metis in Space,Christiane Blattmann,Montez,18
CV335,"Mistakes Were Made
",Agata Madejska,Edition Taube,26
CV336,No Nile View ,"Noha Mokhtar, Gregor Huber",Edition HS,12
CV337,Only Apples,Brigham Baker,Edition Taube,26
CV338,Paris la consciencieuse : Paris la guideuse du monde,Frédéric Bruly Bouabré,Empire Books,40
CV339,Planet der Anfänger,,Edition Taube,18
CV340,Pocket Guide Dada City Zurich,,Cabaret Voltaire,10
CV341,Pocket Guide Dada Stadt Zürich,,Cabaret Voltaire,10
CV342,Postcards from Montreal,Martijn in t’Veld,Happy Potato Press,16
CV343,Proof,,Empire Books,28
CV344,Psychosomatik,Elizabeth A. Wilson,Edition Patrick Frey,16
CV345,Robida 8 2022,Robida Collective,Robida Collective,38
CV346,"Sitara Abuzar Ghaznawi, Emmy Hennings","Sitara Abuzar Ghaznawi, Emmy Hennings",Lenz,22
CV347,Sock Poems,Martijn in ’t Veld,Happy Potato Press,22
CV348,Solution 295–304: Mare Amoris,,Sternberg Press,18
CV349,Sound Drawings,Richard Mcguire,Fotokino,16
CV350,SPECTRES I Composing Listening,Diverse,Shelter Press,22
CV350,SPECTRES IV Mille voix ,Diverse,Shelter Press,22
CV351,Squirrels on Earth and Stars Above,Peter Warshall,Edition HS,34
CV352,That’s When Walls are Thin,Chantal Rens,Edition Taube,80
CV353,The Corporeal Life of Seafaring,"Khalili, Laleh",Mack Books,22
CV354,The Serving Library Annual 2022/23 (Meander),,Roma Publications,40
CV355,"There is an end to unfolding, but there is no end to folding",Hwang Euyoung,Self-Published,22
CV356,"Venus, Vesuv",Saskia Groneberg,Edition Taube,13
CV357,Vibration Highway,Andrea Éva Győri,Edition Taube,36
CV358,When You Make No Art,Wen-You Cai,Special Special,32
CV359,21 Monumental Sculptures for Insects,,,22
CV360,A Few Homers,,,13
CV361,A Garden by the Sea,,,14
CV362,A Radical Garden,,,13
CV363,"A Tree, A Reader on Arboreal Kinship",,Onomatopee,20
CV364,A Year in the Allotment,,,10
CV365,Aquatic Encounters ,,Rooftop Books,28
CV366,Artists at 5,Ryan Gander - ,,34
CV367,Bartleby oder die Formel,"Deleuze, Gilles",Merve,13
CV368,BODIES OF SOUND: BECOMING A FEMINIST EAR,"Irene Revell, Sarah Shin",Silver Press,24
CV369,Confideces/Orcale,Ivan Cheng,,18
CV370,Confidences/Production,Ivan Cheng,After 8 Books,22
CV371,Das straighte Denken,"Wittig, Monique",,28
CV372,Democracy and Urban Form,Richard Sennett,Sternberg Press,28
CV373,Dix Portraits,,David Zwirner,20
CV374,Dreams - of dreams of dreams,,,18
CV375,EXIT REALITY,Valentina Tanni,NERO,28
CV376,Flower,"Atkins, Ed",Fitzcarraldo Editions,34
CV377,Hell’s Gates II,,,34
CV378,Hook Book,Martino Gamper,Dent-De-Leone,38
CV379,I Remember,Joe Brainard,,26
CV380,LSD n° 03 – A DIY Issue,Diverse,Les Presses Du Reel,16
CV381,Medium Design,"Easterling, Keller",Merve,12
CV382,Museums at the Ecological Turn,,,24
CV383,MY MOTHER LAUGHS,CHANTAL AKERMAN,Silver Press,24
CV384,Poisonous Berries,,,13
CV385,Poor Artists,The White Pube,Random House UK,36
CV386,Potato Bones,,,20
CV387,Reading ,Ilan Manouach,,38
CV388,,,,0
CV389,Research For People Who (Think They) Would Rather Create,Dirk Vis,Onomatopee,22
CV390,Roo(u)ting,,,18
CV391,Seasonal Matters Rural Relations,,Onomatopee,32
CV392,Seeing Further,,Fitzcarraldo Editions,26
CV393,Sleepless,,Fitzcarraldo Editions,28
CV394,Steering the Craft,URSULA K. LE GUIN,Silver Press,22
CV395,Tenderness: A Black Queer Meditati The Nose,,,22
CV396,The Author as Producer of Nothing,Peter Gidal,Rab-Rab Press,22
CV397,The Book of All Loves,"Mallo, Agustin Fernandez",Fitzcarraldo Editions,28
CV398,The Consequences,Max Brett,Ness,16
CV399,The Convent of Pleasure,,Ness,18
CV400,The Undercurrents,"Bell, Kirsty",Fitzcarraldo Editions,26
CV401,The Young Man,,Fitzcarraldo Editions,18
CV402,Three Becomes Two Becomes One,Leonie Brandner,Onomatopee,26
CV403,Trophic Verses,,Rooftop Books,30
CV404,Unruled in Yum Yum,Lorenza Longhi,Swiss Institute,16
